event_id,report_date,source_platform,country,border_region,disease,host_species,cases,deaths,culling,neighboring_outbreaks_14d,livestock_density_index,trade_flow_index,transport_access_index,border_distance_km,rainfall_anomaly,temperature_anomaly,narrative_text,cross_border_alert
E001,2025-01-03,WOAH,Vietnam,Lao Cai,ASF,swine,180,25,600,4,82,78,74,95,1.2,0.8,"Outbreak detected in backyard pig farms near a formal border crossing. Animal movement between wholesale markets continued for three days before restrictions were enforced.",1
E002,2025-01-07,FAO,Mongolia,Dornod,FMD,cattle,42,2,0,1,48,34,41,320,-0.4,-1.1,"A limited cattle cluster was found in a grazing area far from the nearest border checkpoint. Veterinary teams contained the herd within 24 hours.",0
E003,2025-01-10,WOAH,Russia,Primorsky Krai,H5N1,poultry,260,58,1200,5,76,69,81,110,0.9,-0.2,"Highly pathogenic avian influenza was reported in poultry holdings close to migratory bird routes and cross-border transport links. Multiple farms were under movement restriction.",1
E004,2025-01-12,National Portal,Myanmar,Kachin,PPR,goats,37,6,80,1,44,28,29,260,0.3,1.4,"The goat outbreak remained localized in a mountainous township. Field officers completed ring vaccination and no market spillover was observed.",0
E005,2025-01-17,WOAH,Kazakhstan,East Kazakhstan,LSD,cattle,95,4,130,3,63,57,62,185,-0.1,-0.6,"Lumpy skin disease spread across several villages connected by livestock trucks. Informal trade routes to nearby border settlements complicated tracing.",1
E006,2025-01-21,FAO,Nepal,Koshi,FMD,cattle,28,1,0,1,52,31,35,210,1.0,0.5,"A single dairy farm reported foot-and-mouth disease. Rapid quarantine and vaccination were completed before any long-distance transport occurred.",0
E007,2025-01-25,WOAH,Laos,Luang Namtha,ASF,swine,140,18,420,4,71,73,68,88,1.3,1.0,"Pig deaths increased in villages adjacent to a busy trade corridor. Local authorities noted delayed reporting and continuing transport by small trucks.",1
E008,2025-01-30,National Portal,India,Arunachal Pradesh,H5N1,ducks,33,11,90,2,59,39,47,155,1.4,0.7,"The duck mortality event was linked to wetlands used by migratory birds. The affected flock was small and movement was suspended the same day.",0
E009,2025-02-03,WOAH,Bangladesh,Sylhet,PPR,goats,120,24,210,3,68,65,66,145,0.7,1.2,"PPR clusters emerged in several upazilas with active livestock market exchange. Shared grazing and informal movement created a transboundary spread concern.",1
E010,2025-02-06,FAO,Russia,Amur Oblast,ASF,wild_boar,22,14,0,2,34,21,26,305,-1.1,-1.7,"Wild boar carcasses tested positive during winter surveillance. The site was remote and no farm infection or trade exposure was reported.",0
E011,2025-02-11,WOAH,Vietnam,Lang Son,FMD,cattle,155,7,180,4,79,83,77,70,0.8,0.9,"Foot-and-mouth disease was confirmed in cattle markets serving a major border gate. Traders had moved animals between districts before closure notices were issued.",1
E012,2025-02-15,National Portal,Bhutan,Samtse,Newcastle Disease,poultry,26,8,55,1,46,24,33,175,-0.3,0.1,"The outbreak was confined to a small household poultry unit. Community culling and disinfection were completed within one reporting cycle.",0
E013,2025-02-19,WOAH,Mongolia,Khentii,Brucellosis,sheep,64,0,0,2,51,37,38,275,0.2,-0.8,"Brucellosis screening identified positive sheep in pastoral camps. Surveillance indicated limited movement and no market-linked amplification.",0
E014,2025-02-22,FAO,Myanmar,Shan,H5N1,poultry,210,67,900,5,74,72,71,102,1.5,1.1,"Poultry deaths accelerated across multiple farms near an official trading corridor. Cross-border traders reported delayed inspection and weak farm biosecurity.",1
E015,2025-02-27,WOAH,Pakistan,Gilgit-Baltistan,FMD,yak,49,3,0,2,41,29,31,360,-0.7,-1.2,"A moderate FMD event in yak herds was reported in a sparsely connected highland area. Veterinary fencing reduced contact with neighboring districts.",0
E016,2025-03-02,National Portal,Laos,Bokeo,ASF,swine,175,21,480,4,73,76,72,92,0.9,1.0,"The swine outbreak affected farms supplying pigs to cross-border markets. Trucks moved animals through secondary checkpoints before culling began.",1
E017,2025-03-06,WOAH,Russia,Zabaykalsky Krai,FMD,cattle,88,4,60,3,57,49,53,165,-0.5,-0.9,"An FMD cluster was found in cattle settlements linked by seasonal transport. Control teams imposed movement restriction and ring vaccination within 48 hours.",0
E018,2025-03-10,FAO,Nepal,Lumbini,LSD,cattle,132,9,260,4,66,61,63,118,1.1,1.4,"Cattle lesions were reported in districts connected by commercial animal transport and frequent fair trading. Several farms shared suppliers across the border belt.",1
E019,2025-03-15,WOAH,Vietnam,Cao Bang,Newcastle Disease,poultry,61,19,150,3,69,58,60,130,0.6,0.4,"Poultry infection expanded from one commune to neighboring villages. Bird traders used informal roads before checkpoints intensified inspections.",1
E020,2025-03-19,National Portal,India,Sikkim,ASF,swine,31,5,70,1,47,27,30,245,0.1,0.2,"A contained pig event in a remote hilly district showed no evidence of market or truck-based dissemination. Local culling was completed quickly.",0

